旅,たび,"
塗れ,まみ,"
to pull; to draw; to pull tight
to string (lines); to run (cable); to stretch
to pull towards oneself (e.g. someone's sleeve)
to drag; to haul; to tow
to lead (e.g. one's followers)
to take someone somewhere (e.g. a suspect to the police)
to tempt into joining; to strongly invite to join
to delay; to prolong
to lengthen the pronunciation (of a word)
to quote; to cite; to reference
to pull the ball
to wear; to put on"
鷹狩り,たかが,"
to stretch; to extend; to lengthen; to grow (of hair, height, grass, etc.)
to straighten out; to be flattened; to become smooth
to spread (of paint, cream, etc.)
to stretch out (e.g. of a hand); to extend
to lose elasticity; to become slack; to become soggy (e.g. noodles)
to make progress; to develop; to expand; to increase; to improve
to be exhausted; to be groggy; to pass out; to collapse
to be prolonged (meeting, life span, etc.); to be extended (e.g. deadline); to lengthen (e.g. of the days)
to be postponed; to be delayed; to be put off
延びる 【のびる】"
引っ張る,ひぱ,"
care; looking after; repair; maintenance; tending; trimming; grooming
(police) raid; crackdown"
伸びる,の,"
to become less crowded; to thin out; to get empty
to be hungry"
手入れ,てい,"
to finish; to end; to be completed
to merely result in something less severe than expected
to feel at ease
to feel unease or guilt for troubling someone; to be sorry
濟む 【すむ】"
空く,す,"
to be peevish; to sulk; to pout"
済む,す,"
pomade; balm; perfumed oil"
拗ねる,す,"
to excite; to incite; to stimulate; to arouse; to tempt; to stir up"
香油,こうゆ,"
life; lifetime; career
for life; all one's life; throughout one's life; as long as one lives"
唆る,そそ,"
lead (Pb)
Lead"
生涯,しょうがい,"
pilgrimage; pilgrim
Pilgrimage
順礼 【じゅんれい】"
鉛,なまり,"
deeply religious; devout; godly; faithful"
巡礼,じゅんれい,"
sacred place; holy ground; the Holy Land
real-life location used as a setting in a novel, film, anime, etc.
Seichi
Holy Land"
信心深い,しんじんぶか,"
one's dearest wish
Buddha's vow to save humanity"
聖地,せいち,"
polite; courteous; civil
careful; close; thorough; conscientious
叮嚀 【ていねい】"
悲願,ひがん,"
(many) mountains
very much (wanting to do something one cannot); greatly; really
so many; a lot of
Yamayama
山山 【やまやま】"
丁寧,ていねい,"
to approach; to draw near; to come near; to be close to
to gather (in one place); to come together; to meet
to stop by (while on one's way to another place); to drop by; to make a short visit
to grow old; to grow high (number, etc.)
to grow (wrinkly)
to lean against; to recline on
to push one's opponent while holding their belt
to decide on a price and come to a deal
to be swayed by (a person); to yield to"
山々,やまやま,"
to leak out; to escape; to come through; to shine through; to filter out
to find expression; to give vent
to leak out; to be divulged; to be disclosed
to be omitted; to be left out; to be excluded; to be not included
洩れる 【もれる】"
寄る,よ,"
to leak out; to escape; to come through; to shine through; to filter out
to find expression; to give vent
to leak out; to be divulged; to be disclosed
to be omitted; to be left out; to be excluded; to be not included
洩れる 【もれる】"
漏れる,も,"
inside the breast of one's clothing (esp. kimono); bosom; (breast) pocket
space between one's chest and outstretched arms; (one's) reach
heart (e.g. of a mountain); bosom (e.g. of nature); depths; inner part
mind; heart; inner thoughts
money (one is carrying); purse; pocketbook
懷 【ふところ】"
漏れる,も,"
quietly; calmly; comfortably; peacefully
オチオチ"
懐,ふところ,"
honest; frank; candid; straightforward
honestly; frankly
Shoujiki
Honesty"
落ち落ち,おお,"
precious; valuable"
正直,しょうじき,"
after all; in the end; ultimately; eventually
conclusion; end
end of a game of go, shogi, etc."
貴重,きちょう,"
to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise
to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)"
結局,けっきょく,"
personality; character; personal appearance; gentility"
現れる,あらわ,"
impressive; striking; memorable; impactful"
人柄,ひとがら,"
wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious
strangely enough; oddly enough; for some reason; curiously"
印象的,いんしょうてき,"
foreign country"
